"統計名：","在留外国人統計（旧登録外国人統計） 在留外国人統計"
"表番号：","01"
"表題：","国籍・地域別　在留資格別　在留外国人"
"実施年月：","-","-"

"***","数字が得られないもの"
"-","数字が得られないもの"

"","","","","","","","","","/在留資格 コード","1010","1040","1050","1060","1070","1080","1090","1100","1110","1120","1130","1140","1150","1160","1170","1180","1190","1200","1210","1220","1230","1240","1250","1260","1270","1280","1290","1300","1310","1320","1330","1340","1350","1360","1380","1400","1410","1420","1430","1440","1450","1460","1470"
"","","","","","","","","","/在留資格 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","集計時点（半期毎） コード","集計時点（半期毎） 補助コード","集計時点（半期毎）","国籍・地域 コード","国籍・地域 補助コード","国籍・地域","/在留資格","総数","教授","芸術","宗教","報道","高度専門職合計","高度専門職１号イ","高度専門職１号ロ","高度専門職１号ハ","高度専門職２号","投資・経営","経営・管理","法律・会計業務","医療","研究","教育","技術","人文知識・国際業務","技術・人文知識・国際業務","企業内転勤","介護","興行","技能","特定技能合計","特定技能１号","特定技能２号","技能実習合計","技能実習１号イ","技能実習１号ロ","技能実習２号イ","技能実習２号ロ","技能実習３号イ","技能実習３号ロ","文化活動","留学","研修","家族滞在","特定活動","永住者","日本人の配偶者等","永住者の配偶者等","定住者","特別永住者"
"01","","人数【人】","2025000606","","2025年6月","1380","","ミャンマー","","160362","68","0","37","0","124","17","103","3","1","***","150","0","31","24","4","***","***","15919","281","1013","0","193","35640","35557","83","35682","107","11466","70","23431","0","608","8","30837","30","3286","30036","3194","846","273","2686","0"
"01","","人数【人】","2025000606","","2025年6月","1390","","モルディブ","","84","1","0","0","0","0","0","0","0","0","***","1","0","0","0","0","***","***","6","3","0","0","3","0","0","0","0","0","0","0","0","0","0","1","22","2","5","0","26","12","2","0","0"
"01","","人数【人】","2025000606","","2025年6月","1400","","モンゴル","","21186","49","6","1","1","85","11","69","2","3","***","260","0","26","15","7","***","***","4391","16","127","20","22","1194","1191","3","2103","0","724","0","1256","0","123","20","4581","4","4820","594","1673","451","165","552","3"
"01","","人数【人】","2025000606","","2025年6月","1410","","ヨルダン","","297","5","0","0","0","3","1","1","1","0","***","11","0","0","4","3","***","***","50","1","0","0","1","0","0","0","0","0","0","0","0","0","0","2","35","0","42","39","52","31","4","14","0"
"01","","人数【人】","2025000606","","2025年6月","1420","","ラオス","","4739","5","0","1","0","3","0","2","0","1","***","1","0","1","1","0","***","***","144","6","2","1","23","342","341","1","1712","14","649","14","999","0","36","0","345","10","109","49","1439","169","96","279","1"
"01","","人数【人】","2025000606","","2025年6月","1430","","レバノン","","185","4","0","0","0","2","0","2","0","0","***","14","0","0","1","0","***","***","49","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","13","0","14","21","44","11","4","6","0"
"01","","人数【人】","2025000606","","2025年6月","2000","","ヨーロッパ","","104426","1490","168","269","69","1673","231","1221","161","60","***","1354","29","5","276","2107","***","***","17249","950","22","552","481","308","303","5","384","24","143","0","211","0","6","802","14910","6","7624","6811","28479","13510","897","3660","341"
"01","","人数【人】","2025000606","","2025年6月","2010","","アイスランド","","87","2","0","1","0","3","0","3","0","0","***","2","0","0","0","1","***","***","13","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","22","0","12","2","10","15","0","0","0"
"01","","人数【人】","2025000606","","2025年6月","2020","","アイルランド","","1392","36","0","2","2","27","2","22","2","1","***","12","0","0","1","165","***","***","251","9","0","6","13","0","0","0","0","0","0","0","0","0","0","1","64","0","64","83","423","206","8","13","6"
"01","","人数【人】","2025000606","","2025年6月","2030","","アゼルバイジャン","","215","0","0","0","1","2","0","2","0","0","***","3","0","0","0","0","***","***","52","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","64","0","18","27","30","11","3","1","0"
"01","","人数【人】","2025000606","","2025年6月","2040","","アルバニア","","99","1","0","0","0","1","0","1","0","0","***","0","0","0","0","0","***","***","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","2","19","0","7","0","44","16","1","0","0"
"01","","人数【人】","2025000606","","2025年6月","2050","","アルメニア","","82","1","0","0","0","2","0","2","0","0","***","1","0","0","0","0","***","***","12","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","21","1","18","4","10","10","1","0","0"
"01","","人数【人】","2025000606","","2025年6月","2060","","アンドラ","","4","0","0","0","0","0","0","0","0","0","***","0","0","0","0","0","***","***","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"01","","人数【人】","2025000606","","2025年6月","2070","","イタリア","","5864","108","14","44","3","89","23","57","6","3","***","79","0","0","20","10","***","***","1101","64","0","25","67","39","36","3","0","0","0","0","0","0","0","81","1035","0","260","113","1490","1075","40","94","13"
"01","","人数【人】","2025000606","","2025年6月","2080","","ウクライナ","","4176","20","5","1","0","17","3","11","1","2","***","7","0","0","7","2","***","***","215","3","0","36","3","1","1","0","3","3","0","0","0","0","0","9","197","0","91","445","999","224","33","1857","1"
"01","","人数【人】","2025000606","","2025年6月","2090","","ウズベキスタン","","7261","4","0","0","0","52","2","47","0","3","***","38","0","0","0","6","***","***","1305","8","11","1","32","78","78","0","305","0","132","0","170","0","3","2","2874","1","1439","230","529","143","91","112","0"
"01","","人数【人】","2025000606","","2025年6月","2100","","英国","","20532","314","23","43","13","388","34","295","52","7","***","355","17","1","33","1592","***","***","3629","125","2","109","77","10","8","2","9","9","0","0","0","0","0","52","1095","0","999","924","7135","3146","103","242","96"
"01","","人数【人】","2025000606","","2025年6月","2110","","うち英国〔香港〕","","2036","14","7","0","1","85","4","63","17","1","***","167","1","0","2","8","***","***","478","8","2","0","1","5","4","1","0","0","0","0","0","0","0","3","165","0","137","56","670","184","21","21","0"
"01","","人数【人】","2025000606","","2025年6月","2120","","エストニア","","195","2","0","0","0","1","0","1","0","0","***","1","0","0","1","2","***","***","24","0","0","5","2","1","1","0","0","0","0","0","0","0","0","0","42","0","11","9","42","39","5","8","0"
"01","","人数【人】","2025000606","","2025年6月","2130","","オーストリア","","831","17","1","2","0","20","4","10","4","2","***","12","0","0","5","4","***","***","79","23","0","8","3","2","2","0","0","0","0","0","0","0","0","11","147","0","29","102","254","102","3","5","2"
